title,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,ROI,engagement,CPM,segment,type
Paranormal Activity,R,Horror,2007,"October 16, 2009 (United States)",6.3,225000.0,Oren Peli,Oren Peli,Katie Featherston,United States,15000.0,193355800.0,Solana Films,86.0,12889.386666666667,0.0011636578783775816,0.06666666666666667,Indie Hit,Top
The Blair Witch Project,R,Horror,1999,"July 30, 1999 (United States)",6.5,239000.0,Daniel Myrick,Daniel Myrick,Heather Donahue,United States,60000.0,248639099.0,Haxan Films,81.0,4142.984983333334,0.0009612325694600429,0.2510460251046025,Indie Hit,Top
The Gallows,R,Horror,2015,"July 10, 2015 (United States)",4.3,20000.0,Travis Cluff,Chris Lofing,Reese Mishler,United States,100000.0,42964410.0,New Line Cinema,81.0,428.6441,0.00046550156280512173,5.0,Indie Hit,Top
El Mariachi,R,Action,1992,"February 26, 1993 (United States)",6.9,64000.0,Robert Rodriguez,Robert Rodriguez,Carlos Gallardo,Mexico,7000.0,2040920.0,Columbia Pictures,81.0,290.56,0.03135840699292476,0.109375,Indie Hit,Top
Once,R,Drama,2007,"June 15, 2007 (United States)",7.8,112000.0,John Carney,John Carney,Glen Hansard,Ireland,150000.0,20936722.0,Bórd Scannán na hÉireann,86.0,138.57814666666667,0.0053494525074173505,1.3392857142857142,Indie Hit,Top
Clerks,R,Comedy,1994,"November 9, 1994 (France)",7.7,214000.0,Kevin Smith,Kevin Smith,Brian O'Halloran,United States,27000.0,3151130.0,View Askew Productions,92.0,115.70851851851852,0.0679121458016648,0.1261682242990654,Indie Hit,Top
Napoleon Dynamite,PG,Comedy,2004,"August 27, 2004 (United States)",6.9,204000.0,Jared Hess,Jared Hess,Jon Heder,United States,400000.0,46138887.0,Fox Searchlight Pictures,96.0,114.3472175,0.0044214330527739,1.9607843137254901,Indie Hit,Top
In the Company of Men,R,Comedy,1997,"August 1, 1997 (United States)",7.2,13000.0,Neil LaBute,Neil LaBute,Aaron Eckhart,Canada,25000.0,2804473.0,Alliance Atlantis Communications,97.0,111.17892,0.004635452008273925,1.9230769230769231,Indie Hit,Top
Keeping Mum,R,Comedy,2005,"October 6, 2006 (United States)",6.8,34000.0,Niall Johnson,Richard Russo,Rowan Atkinson,United Kingdom,169000.0,18586834.0,Summit Entertainment,99.0,108.98126627218934,0.0018292518241675802,4.970588235294118,Indie Hit,Top
Open Water,R,Adventure,2003,"August 20, 2004 (United States)",5.7,52000.0,Chris Kentis,Chris Kentis,Blanchard Ryan,United States,500000.0,54683487.0,Plunge Pictures LLC,79.0,108.366974,0.0009509269224180967,9.615384615384615,Indie Hit,Top
Trojan War,PG-13,Comedy,1997,"October 1, 1997 (Brazil)",5.7,5800.0,George Huang,Andy Burg,Will Friedle,United States,15000000.0,309.0,Daybreak,85.0,-0.9999794,18.77022653721683,2586.206896551724,Other,Bottom
Madadayo,,Drama,1993,"April 17, 1993 (Japan)",7.3,5100.0,Akira Kurosawa,Ishirô Honda,Tatsuo Matsumura,Japan,11900000.0,596.0,DENTSU Music And Entertainment,134.0,-0.9999499159663866,8.557046979865772,2333.3333333333335,Other,Bottom
Ginger Snaps,Not Rated,Drama,2000,"May 11, 2001 (Canada)",6.8,43000.0,John Fawcett,Karen Walton,Emily Perkins,Canada,5000000.0,2554.0,Copperheart Entertainment,108.0,-0.9994892,16.8363351605325,116.27906976744185,Other,Bottom
Philadelphia Experiment II,PG-13,Action,1993,"June 4, 1994 (South Korea)",4.5,1900.0,Stephen Cornwell,Wallace C. Bennett,Brad Johnson,United States,5000000.0,2970.0,Trimark Pictures,97.0,-0.999406,0.6397306397306397,2631.5789473684213,Other,Bottom
The Lovers on the Bridge,R,Drama,1991,"July 2, 1999 (United States)",7.6,13000.0,Leos Carax,Leos Carax,Juliette Binoche,France,28000000.0,29679.0,Films A2,125.0,-0.9989400357142857,0.43802014892685065,2153.846153846154,Failure,Bottom
Savior,R,Drama,1998,"November 20, 1998 (United States)",7.3,11000.0,Predrag Antonijevic,Robert Orr,Dennis Quaid,United States,10000000.0,14328.0,Initial Entertainment Group (IEG),103.0,-0.9985672,0.7677275265214963,909.0909090909091,Other,Bottom
Tanner Hall,R,Drama,2009,"January 15, 2015 (Sweden)",5.8,3500.0,Francesca Gregorini,Tatiana von Fürstenberg,Rooney Mara,United States,3000000.0,5073.0,Two Prong Lesson,96.0,-0.998309,0.6899270648531441,857.1428571428571,Other,Bottom
Crimewave,PG-13,Comedy,1985,"April 25, 1986 (United States)",5.7,5300.0,Sam Raimi,Ethan Coen,Louise Lasser,United States,3000000.0,5101.0,Columbia Pictures,83.0,-0.9982996666666667,1.0390119584395217,566.0377358490566,Other,Bottom
Deadfall,R,Crime,1993,"October 8, 1993 (United States)",4.0,3000.0,Christopher Coppola,Christopher Coppola,Michael Biehn,United States,10000000.0,18369.0,Trimark Pictures,98.0,-0.9981631,0.16331863465621427,3333.3333333333335,Other,Bottom
Hell's Kitchen,R,Crime,1998,"January 19, 2001 (Italy)",4.7,2500.0,Tony Cinciripini,Tony Cinciripini,Rosanna Arquette,United States,6000000.0,11710.0,HK Film Corporation,95.0,-0.9980483333333333,0.2134927412467976,2400.0,Other,Bottom
