title,genre,budget,gross,ROI,segment
The Shining,Drama,19000000.0,46998772.0,1.4736195789473685,Other
The Blue Lagoon,Adventure,4500000.0,58853106.0,12.078468,Indie Hit
Star Wars: Episode V - The Empire Strikes Back,Action,18000000.0,538375067.0,28.909725944444446,Blockbuster
Airplane!,Comedy,3500000.0,83453539.0,22.843868285714287,Indie Hit
Caddyshack,Comedy,6000000.0,39846344.0,5.641057333333333,Indie Hit
Friday the 13th,Horror,550000.0,39754601.0,71.28109272727272,Indie Hit
The Blues Brothers,Action,27000000.0,115229890.0,3.267773703703704,Other
Raging Bull,Biography,18000000.0,23402427.0,0.30013483333333335,Other
Superman II,Action,54000000.0,108185706.0,1.003439,Other
The Long Riders,Biography,10000000.0,15795189.0,0.5795189,Other
Any Which Way You Can,Action,15000000.0,70687344.0,3.7124896,Indie Hit
The Gods Must Be Crazy,Adventure,5000000.0,30031783.0,5.0063566,Indie Hit
Popeye,Adventure,20000000.0,49823037.0,1.49115185,Other
Ordinary People,Drama,6000000.0,54766923.0,8.1278205,Indie Hit
Dressed to Kill,Crime,6500000.0,31899000.0,3.9075384615384614,Indie Hit
Somewhere in Time,Drama,5100000.0,9709597.0,0.9038425490196078,Other
9 to 5,Comedy,10000000.0,103300686.0,9.3300686,Indie Hit
The Fog,Horror,1000000.0,21448782.0,20.448782,Indie Hit
Cruising,Crime,11000000.0,19814523.0,0.8013202727272727,Other
Heaven's Gate,Adventure,44000000.0,3484523.0,-0.9208062954545455,Failure
The Final Countdown,Action,12000000.0,16647800.0,0.38731666666666664,Other
Xanadu,Fantasy,20000000.0,22762571.0,0.13812855,Other
Brubaker,Crime,9000000.0,37121708.0,3.1246342222222223,Indie Hit
American Gigolo,Crime,4800000.0,22743674.0,3.7382654166666667,Indie Hit
Cattle Annie and Little Britches,Drama,5100000.0,534816.0,-0.8951341176470589,Other
Private Benjamin,Comedy,10000000.0,69847348.0,5.9847348,Indie Hit
The Hollywood Knights,Comedy,4000000.0,10000000.0,1.5,Other
Motel Hell,Comedy,3000000.0,6342668.0,1.1142226666666666,Other
The Stunt Man,Action,3500000.0,7063886.0,1.0182531428571429,Other
The Island,Action,22000000.0,15716828.0,-0.2855987272727273,Failure
The Nude Bomb,Action,15000000.0,14662035.0,-0.022531,Other
Stardust Memories,Comedy,10000000.0,10389003.0,0.0389003,Other
Melvin and Howard,Comedy,7000000.0,4309490.0,-0.38435857142857144,Other
Bronco Billy,Action,6500000.0,24265659.0,2.7331783076923077,Indie Hit
When Time Ran Out...,Action,20000000.0,3763988.0,-0.8118006,Other
Oh Heavenly Dog,Comedy,6000000.0,6216067.0,0.036011166666666664,Other
The Octagon,Action,4000000.0,18971000.0,3.74275,Indie Hit
The Last Flight of Noah's Ark,Adventure,6000000.0,11000000.0,0.8333333333333334,Other
Willie & Phil,Comedy,5500000.0,4400000.0,-0.2,Other
Phobia,Drama,5100000.0,59167.0,-0.9883986274509804,Other
Indiana Jones and the Raiders of the Lost Ark,Action,18000000.0,389925971.0,20.662553944444443,Blockbuster
An American Werewolf in London,Comedy,10000000.0,30669378.0,2.0669378,Other
Escape from New York,Action,6000000.0,25244626.0,3.207437666666667,Indie Hit
The Evil Dead,Horror,350000.0,2956630.0,7.447514285714286,Indie Hit
Porky's,Comedy,2500000.0,111289673.0,43.5158692,Indie Hit
Blow Out,Crime,18000000.0,12000000.0,-0.3333333333333333,Other
Clash of the Titans,Action,15000000.0,41092328.0,1.7394885333333334,Other
Excalibur,Adventure,11000000.0,34971136.0,2.1791941818181817,Other
Mad Max 2,Action,3000000.0,23668369.0,6.889456333333333,Indie Hit
Stripes,Comedy,10000000.0,85297000.0,7.5297,Indie Hit
The Cannonball Run,Action,18000000.0,72179579.0,3.009976611111111,Indie Hit
Thief,Action,5500000.0,11492915.0,1.089620909090909,Other
Time Bandits,Adventure,5000000.0,42368025.0,7.473605,Indie Hit
Friday the 13th Part 2,Horror,1250000.0,21722776.0,16.3782208,Indie Hit
For Your Eyes Only,Action,28000000.0,54813222.0,0.9576150714285714,Other
Halloween II,Horror,2500000.0,25533818.0,9.2135272,Indie Hit
Taps,Drama,14000000.0,35856053.0,1.5611466428571428,Other
Reds,Biography,32000000.0,40382659.0,0.26195809375,Other
The Fox and the Hound,Animation,12000000.0,63456988.0,4.2880823333333336,Indie Hit
Chariots of Fire,Biography,5500000.0,59303359.0,9.782428909090909,Indie Hit
Absence of Malice,Drama,12000000.0,40716963.0,2.39308025,Other
Tarzan the Ape Man,Adventure,6500000.0,36565280.0,4.625427692307692,Indie Hit
Victory,Drama,10000000.0,10853418.0,0.0853418,Other
Arthur,Comedy,7000000.0,95461682.0,12.637383142857143,Indie Hit
History of the World: Part I,Comedy,11000000.0,31672907.0,1.8793551818181817,Other
The Howling,Horror,1000000.0,17985893.0,16.985893,Indie Hit
Dragonslayer,Action,18000000.0,14110013.0,-0.2161103888888889,Other
Cutter's Way,Crime,3000000.0,1752634.0,-0.41578866666666664,Other
Quest for Fire,Adventure,12500000.0,20962615.0,0.6770092,Other
The Final Conflict,Horror,5000000.0,20471382.0,3.0942764,Indie Hit
Mommie Dearest,Biography,5000000.0,19032261.0,2.8064522,Indie Hit
Private Lessons,Comedy,2800000.0,26279000.0,8.385357142857142,Indie Hit
The Postman Always Rings Twice,Crime,12000000.0,12376625.0,0.031385416666666666,Other
Deadly Blessing,Horror,2500000.0,8279042.0,2.3116168,Other
Eyewitness,Crime,8500000.0,6400000.0,-0.24705882352941178,Other
Outland,Action,16000000.0,17374595.0,0.0859121875,Other
S.O.B.,Comedy,12000000.0,14867086.0,0.23892383333333334,Other
The Beyond,Horror,400000.0,123843.0,-0.6903925,Other
One from the Heart,Drama,26000000.0,636796.0,-0.9755078461538461,Failure
True Confessions,Crime,10000000.0,12850276.0,0.2850276,Other
Nighthawks,Action,5000000.0,19905359.0,2.9810718,Indie Hit
Neighbors,Comedy,8500000.0,29916207.0,2.5195537647058823,Other
Wolfen,Horror,17000000.0,10626725.0,-0.3748985294117647,Other
Prince of the City,Crime,8600000.0,8124257.0,-0.05531895348837209,Other
Eyes of a Stranger,Horror,800000.0,1118634.0,0.3982925,Other
Under the Rainbow,Comedy,20000000.0,18826490.0,-0.0586755,Other
Carbon Copy,Comedy,6000000.0,9566593.0,0.5944321666666667,Other
Modern Problems,Comedy,8000000.0,26154211.0,2.269276375,Other
Pennies from Heaven,Drama,22000000.0,9171289.0,-0.5831232272727273,Failure
The Legend of the Lone Ranger,Action,18000000.0,12617845.0,-0.2990086111111111,Other
Sphinx,Adventure,14000000.0,2022771.0,-0.8555163571428571,Other
Zoot Suit,Drama,2700000.0,3256082.0,0.2059562962962963,Other
Buddy Buddy,Comedy,10000000.0,7258543.0,-0.2741457,Other
Bustin' Loose,Comedy,11000000.0,31261269.0,1.8419335454545454,Other
Heartbeeps,Comedy,12000000.0,2154696.0,-0.820442,Other
Take This Job and Shove It,Comedy,3500000.0,17569027.0,4.019722,Indie Hit
Whose Life Is It Anyway?,Comedy,13000000.0,8206145.0,-0.36875807692307694,Other
Inchon,Drama,46000000.0,5200986.0,-0.8869350869565218,Failure
All Night Long,Comedy,14000000.0,4454295.0,-0.6818360714285714,Other
The Pursuit of D.B. Cooper,Adventure,12000000.0,3702028.0,-0.6914976666666667,Other
Rollover,Drama,16000000.0,10851261.0,-0.3217961875,Other
Honky Tonk Freeway,Action,24000000.0,2004742.0,-0.9164690833333333,Failure
King of the Mountain,Action,2000000.0,1791147.0,-0.1044265,Other
Fast Times at Ridgemont High,Comedy,4500000.0,27092880.0,5.02064,Indie Hit
Blade Runner,Action,28000000.0,41676878.0,0.48845992857142856,Other
The Thing,Horror,15000000.0,19632053.0,0.3088035333333333,Other
Conan the Barbarian,Action,20000000.0,68851475.0,2.44257375,Other
E.T. the Extra-Terrestrial,Family,10500000.0,792910554.0,74.51529085714286,Blockbuster
First Blood,Action,15000000.0,125212904.0,7.3475269333333335,Indie Hit
An Officer and a Gentleman,Drama,7500000.0,129795554.0,16.306073866666665,Indie Hit
Grease 2,Comedy,13200000.0,15171476.0,0.14935424242424242,Other
Annie,Comedy,50000000.0,57063861.0,0.14127722,Other
Poltergeist,Horror,10700000.0,77142388.0,6.209568971962617,Indie Hit
48 Hrs.,Action,12000000.0,78868508.0,5.572375666666667,Indie Hit
