year,avg_budget,avg_gross,avg_ROI
1980,11566250.0,44291963.675,5.524729234338809
1981,10998412.698412698,29186625.682539683,3.340253566692518
1982,11767253.52112676,38043930.549295776,3.080337106948293
1983,10695168.674698794,27969266.421686746,3.066691506436717
1984,12342511.111111112,33341588.82222222,3.20142993865456
1985,12718526.315789474,34036733.231578946,2.514749033221072
1986,12754417.93939394,29649299.08080808,2.2255002146260643
1987,13140073.826923076,32286875.317307692,2.3018749946185886
1988,13287153.846153846,33475531.015384614,1.3855122460055838
1989,15320582.568965517,48057022.698275864,2.157781878485017
1990,18238765.765765768,54777074.0990991,2.5038949003824658
1991,19826736.842105262,48853553.666666664,1.2830870273127146
1992,20213433.351145037,49500533.71755725,3.8174783497067826
1993,18766083.90909091,50909953.72727273,1.3009524560313843
1994,25392615.375,65279443.15625,2.694021039471827
1995,25665462.007246375,61832139.768115945,1.72785353244114
1996,28781805.555555556,63017200.777777776,1.1425927244644782
1997,35040966.666666664,84452110.10666667,2.5788582428587046
1998,36890310.81081081,73354739.57432432,1.3547810212868554
1999,41364662.57668712,82105935.77300614,26.480874971029777
2000,38897239.26380368,80959309.11042945,1.3709590972077978
2001,38833132.530120485,92894899.26506025,1.7036696725233773
2002,36622132.751445085,95033324.29479769,1.9727744083665661
2003,41499559.748427674,108181578.59119497,2.7320215528066254
2004,44286879.74683544,114713292.31645569,3.8775914506208493
2005,42291141.176470585,102223465.23529412,2.9275218886900958
2006,43900000.0,109673153.44785276,1.8399307522809947
2007,45003248.40764331,122660724.1656051,84.78151709274618
2008,43765087.71929824,122305855.1111111,2.34149264361929
2009,43991228.07017544,132397677.0994152,1.7040659393076913
2010,46663109.75609756,132856495.30487806,2.8134425566308425
2011,49179562.5,149801912.09375,2.8345705160040224
2012,47713466.74846626,154514060.30674848,3.2628719979106813
2013,50320931.677018635,159625248.0248447,2.838897513446348
2014,45731901.840490796,160730204.23312885,4.062248045577894
2015,46921321.461538464,168057139.7948718,5.344642150079343
2016,55261006.289308175,175147262.0943396,2.614817585723753
2017,55712030.075187966,208118816.35338345,3.493118751326758
2018,49041818.18181818,192716927.97902098,4.019984821240105
2019,58240789.473684214,242918558.28070176,3.7141465072661894
2020,107687500.0,284112727.625,4.138350449499652
